"rank_population","country_en","leader_name_en","local_file","source_url","license","license_url","author","credit","changes_made","download_date"
"21","France","Emmanuel Macron","assets/final_portraits_3x4/021_FRA_Emmanuel-Macron.jpg","https://commons.wikimedia.org/wiki/File:Emmanuel_Macron_2025_%28cropped%29.jpg","Public domain","","Nebojša Tejić","https://www.flickr.com/photos/141163381@N04/54869784798/","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"22","Tanzania","Samia Suluhu Hassan","assets/final_portraits_3x4/022_TZA_Samia-Suluhu-Hassan.jpg","https://commons.wikimedia.org/wiki/File:International_leaders_sign_joint_statement_at_COP26_%2851649202102%29_%28Suluhu_crop%29.jpg","CC BY 2.0","","Scottish Government","International leaders sign joint statement at COP26","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"23","Thailand","Vajiralongkorn","assets/final_portraits_3x4/023_THA_Vajiralongkorn.jpg","https://commons.wikimedia.org/wiki/File:King_Rama_X_official_%28crop%29.png","CC BY 3.0 th","","The Public Relations Department (กรมประชาสัมพันธ์)","https://oer.learn.in.th/search_detail/result/49360","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"24","South Africa","Cyril Ramaphosa","assets/final_portraits_3x4/024_ZAF_Cyril-Ramaphosa.jpg","https://commons.wikimedia.org/wiki/File:21.11.2025_%E2%80%93_Presidente_da_Rep%C3%BAblica_da_%C3%81frica_do_Sul%2C_Cyril_Ramaphosa_%2854938010569%29_%28cropped%29.jpg","CC BY 4.0","","Ricardo Stuckert","21.11.2025 – Reunião bilateral com o Presidente da República da África do Sul, Cyril Ramaphosa","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"25","Italy","Sergio Mattarella","assets/final_portraits_3x4/025_ITA_Sergio-Mattarella.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Sergio%20Mattarella%20Presidente%20della%20Repubblica%20Italiana.jpg","Attribution","","Unknown authorUnknown author","Quirinale - Biografia (https://www.quirinale.it)","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"26","Kenya","William Ruto","assets/final_portraits_3x4/026_KEN_William-Ruto.jpg","https://commons.wikimedia.org/wiki/File:William_Ruto_2023_%28cropped%29.jpg","Attribution","","Presidenza della Repubblica","https://www.quirinale.it/elementi/80599","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"27","Colombia","Gustavo Petro","assets/final_portraits_3x4/027_COL_Gustavo-Petro.jpg","https://commons.wikimedia.org/wiki/File:Gustavo_Petro_2022.jpg","CC BY 2.0","","Departamento Nacional de Planeación","File:Foto Oficial Presidente Gustavo Petro (52274966005).jpg","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"28","Sudan","Abdel Fattah al-Burhan","assets/final_portraits_3x4/028_SDN_Abdel-Fattah-al-Burhan.jpg","https://commons.wikimedia.org/wiki/File:Abdel_Fattah_al-Burhan_in_April_2025_%28cropped%29.jpg","CC BY 4.0","","



Press Service of the President of the Republic of Azerbaijan
","Ilham Aliyev met with President of Transitional Sovereignty Council of Sudan in Antalya","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"29","Myanmar","Min Aung Hlaing","assets/final_portraits_3x4/029_MMR_Min-Aung-Hlaing.jpg","https://commons.wikimedia.org/wiki/File:Senior_General_Min_Aung_Hlaing_2017_(cropped).jpg","Public domain / source stated","","Government of the Philippines / Wikimedia Commons","Senior General Min Aung Hlaing 2017 cropped","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"30","South Korea","Lee Jae Myung","assets/final_portraits_3x4/030_KOR_Lee-Jae-Myung.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/President%20Lee%20Jae-myung%202025%20%28cropped%29.jpg","CC BY-SA 2.0","","Republic of  Korea from Seoul, Republic of Korea","This image has been extracted from another file","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
